tweet;correctLabel;predictedLabel
YaMeromevaVenirdejandoMimomcx;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 ;lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
LikeabreLosHojosMija/.-;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang2 lang1 lang1 other lang2 lang1 ;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other lang1  
IwaslikeyourluckyandasBailandoconUnaDeGuanajuato(;lmfao;lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;other lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1  
Queverguensacxlol;lang1 lang1 lang1 lang1 lang2 lang2 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other other other  
MeGustaAndarPorlaSierra(;;lang1 lang2 lang1 lang1 lang1 lang1 lang2 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 ;lang1 lang1 lang1 other other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other other  
Meacesentirlonelycxlol;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang2 other lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
NomeLlegeconlatortalmao;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other lang1 ;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other  
PablobeBsme;lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other  
IhategettingfeelingsforjustinCuzhisjustadamnPlayaaaa;other lang2 lang2 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
ITengoHambre;other lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
LetmeHollaacx;lang1 lang1 lang1 lang2 lang2 lang2 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
“@MfChapo:TacoBellisnastywiththeirfakeasstacos.”;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 ;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 other  
@Martin3zz10paraEsoExistenlastiendas;bhaha;lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
“@vianeyaide2:tuyyotirandoelroll,tomandobucanitas..nosepiensalo”;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
LikeMejornomeilusionen!;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang2 lang2 lang1 lang1 lang1 lang1 ;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
SiEsNecesarioAstameSalgoPorlawindownomeImporta;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang2 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
ElJuegoNomaseraDeUnaweekohquePedo?/.-;lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
FuckthiselqueSigue(:!;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;other lang1 lang1 lang1 lang1 lang1 other other lang1 lang1 lang1 lang1 lang1 lang1 other other  
@chelita1123lmaoyaLoSaviaCualSikeNiquenada;other lang2 lang2 lang1 lang1 lang2 lang1 lang2 lang2 lang1 lang2 lang2 lang1 lang1 lang2 other lang1 ;other lang2 lang2 lang2 other lang2 lang2 lang2 lang2 other lang2 lang2 lang2 other lang2 other  
ParairAlmallAya(;;other lang1 lang1 lang1 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang1 lang2 other lang1 ;other other lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other  
@Martin3zz10EsoKresc;Haha;other lang2 lang1 lang2 lang1 lang2 lang2 lang2 lang2 lang2 lang1 lang2 lang2 lang1 lang2 other lang1 ;other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 other  
@chelita1123@princessstacy_LmaoIWouldPeroYouKnowIDon'twanthimtothinkI'mweirdsoyesAyDespues(;;lang1 lang2 lang2 lang1 lang2 lang2 lang1 lang1 lang2 lang2 lang1 lang1 lang2 lang1 ambiguous other lang1 ;other lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other  
@chelita11235.1?LetmeHollaLmaoo;other lang2 lang2 lang2 lang1 lang2 lang1 lang2 lang2 lang1 lang2 lang2 lang1 lang1 lang1 lang1 lang1 ;other lang2 lang2 lang2 other lang2 other lang2 lang2 lang2 lang2 lang2 other other other other  
LikenomeLoTienenqueDeciryoyaSeComoacerlo;lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 ne lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
Idon'tthinkI'veeverbeenthisexcitedtowatchtv!#SVU#ChicagoPD#Ahhhhh#LifeComplete;lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ne lang1 lang1 lang1 lang1 lang1 ;ne lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ne lang1 lang1 lang1 lang1  
@Lesambamchurrrwelcoooommmmmchimisssjijijilahhhyuuuu;1 lang1 lang1 lang1 lang2 lang1 lang1 other lang1 lang1 lang2 lang2 lang1 lang1 lang1 lang1 lang1 ;other lang1 lang1 lang1 lang1 lang1 ne other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
Aniggagottaworkinthemorning!!!StfuandgotosleepdumbassReaganDipshits!Heywhatdouknowthey'releaving#Finallylol;lang1 lang2 lang1 lang1 lang1 lang2 lang1 ne lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ne lang1 lang1 lang1 lang1 lang1 lang1  
Icann'tstandahoeonaTVShowthatsayI'mHispanicorI'mLatino..BitchyouaMexican!Saythatshit!-SPM;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ne  
@Jason100FireslmaoSmokeSumCuhhhloljk;lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 ne lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 other  
@CoIlegefessions@BigNeechiyoubettawarnyourfriendsat#TXST...:Olmfao;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 other lang2 lang1 lang1 lang1 lang1 lang2 lang2 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang2 lang1 lang1 lang1 lang1 lang1 lang2  
DesdeElDiaQueTeFuistetengoelalmamasquetriste...nosedejarteenelolvido..nose..notengovalor..SintiNoseniquiensoy..;other lang1 lang1 lang2 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 ;other lang1 lang1 ne other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2  
YArribaDurangoPaisano!!!;D;lang1 lang1 lang1 lang1 lang1 lang2 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang2 lang1 lang1 lang1 lang1 other  
@Lesambam@brissamayenghettoFabu-louuusssloljk;lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 other lang1 ;lang1 ne lang1 lang1 lang1 lang2 lang1 lang1 lang1 other other lang1 ambiguous lang1 lang1 other  
Ysitevuelvoaver...tejuroqueatuspiesvuelvoacaer...shikititaaaaa;)!!!!YvamonospaDurangooigaaaa!!!Jajaaiiiihijuesuuu;D;lang1 lang1 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang1 lang2 lang2 lang2 lang2 lang1 lang1 ;other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other  
@brissamayenofcourseherghettoasswouldput23onthere-.-weakasshood!NunbutthatJohnsoverhere!!FiveDeuceeelmaojkjkhahaeww;lang2 lang2 lang1 lang2 lang2 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang2 lang2 lang2 lang2 lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2  
Gotaniggagoinlike"YesMastaaahhhwhatevayousaymastahhh!!Dobbyyywillobeyyy"lol;lang1 lang2 lang2 lang1 lang2 lang2 lang2 other lang1 lang1 lang2 lang2 lang2 lang2 lang2 lang1 lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 other  
Mywholefamilylovesmygf..sometimesIthinktheylovehermorethanmelol;lang2 lang2 lang2 lang2 lang2 lang2 lang1 lang2 lang2 lang2 lang2 lang1 lang1 lang2 other other lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other other  
PandoraisonaRoll!!!ThatbitchmakingMySundayPerfect:DnowifshecouldonlyplaythismusicwhenI'mworking-.-;lang2 lang2 lang1 lang2 lang2 lang2 other lang2 lang2 lang1 lang2 lang2 lang2 lang2 lang2 other lang1 ;lang2 lang2 other lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other  
Hastaeldiadehoy..yoteamenoloniego..hastaeldiadhoyxkyamecansedesersiempretujuego..ktperdonediosxkyoyanopuedo;lang1 lang2 lang2 lang2 lang2 lang2 lang2 lang1 lang1 lang2 lang2 lang1 lang1 lang2 lang2 other lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 other  
@Rosie_AmandaCreep!Lolololjk;lang2 lang2 lang1 lang2 lang2 lang2 lang1 lang2 lang2 lang1 lang2 lang2 lang1 lang1 lang1 other lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 other lang2 lang2 other lang2 lang2 other  
TakingBabyStepsthough..1stIgottafixmybby..thenmakesome$$$,thensellmybby:'(soIcangettheKingRanchorLariatEdition:);lang1 lang1 lang2 lang2 lang1 lang2 lang1 lang2 lang2 lang1 lang2 lang2 lang2 lang2 lang1 other lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 other other  
Yosequenotefaltaquientequieraamar..;lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 ne lang1 lang1 lang1 lang1 other  
Whythefuckwouldutestsomeonewhohas0toleranceforBS...Digginyourselfinyourownditch...;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 ne lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other other other  
Teditododmiyfuimalcorrespondido..Enfinmedixvencidoytemandealolvidoxknomerecesserfelizdespuesdeavermehechosufrir;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 other lang1 lang1 other lang1 ;lang1 ne lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 other  
ILOVEmyjobbutDAMNIHateDrvinginRoundRock....TOOMANYDamnCopsEverywhereeee-.-;lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 other lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ne ne lang1 other lang1  
CanIjusthaveaNewF150plz;lang1 lang1 lang2 lang2 lang2 lang2 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other lang1 ;lang1 lang1 lang1 lang1 lang1 ne lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other  
I'mlikehalfadleepontwittet;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 1 lang1 lang1 other lang1 ;lang1 lang1 lang1 lang1 ne other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other other  
Seahawks!!!!;lang1 other lang1 lang2 lang2 lang2 lang2 lang1 lang2 lang1 lang2 lang2 lang2 lang1 lang1 lang1 lang1 ;other other other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other other other  
MANNNNFUCKOBAMA!!!;lang1 lang1 lang1 lang2 lang1 lang1 lang2 lang1 lang2 lang1 lang2 lang2 lang1 lang2 lang2 other lang1 ;lang1 lang1 lang1 lang1 lang1 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other  
@DevinWilliams_1HopetoseeyouplayonthatDKRFootballFieldoneday!ABigStageforaBigPlaymaker!#HookEm;other lang1 lang2 lang2 lang2 other lang2 lang1 lang2 lang1 lang2 lang2 lang2 lang1 lang1 other lang1 ;other other lang2 lang2 lang2 other lang2 lang2 lang2 other lang2 lang2 lang2 lang1 lang1 other  
FUCKTheGrammy's!!!Thatshit'sforPussies!LolIratherwatchtheNFLPro-Bowl!#TeamSanders;lang2 lang1 lang2 lang1 lang1 lang1 lang1 other lang1 lang1 1 lang2 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 mixed lang1 lang1 lang2 lang2 other lang1 lang1 ne lang2 lang1 lang1 lang1 other  
@RideAlong"YeahhButYouknowwhatI'mgo'ndo..GROW!What'chugo'ndoSTRETCH!?"IalmostdiedwhenthelildudesaidthattoKevin!xD;1 other lang1 lang2 lang2 lang2 lang2 lang2 other lang1 lang2 lang1 lang1 lang1 lang2 lang1 lang1 ;other lang1 lang1 lang1 lang2 lang2 lang2 lang2 other lang1 lang1 lang1 lang1 lang2 lang2 other  
PpldefendingthatEdgarTamayoguywhogotExecutedbyTheLovelyStateofTexasforKillingaLawEnforcementOfficerdumbAF!-.-;lang1 lang1 lang2 lang2 lang1 lang1 lang2 lang1 lang1 lang2 lang1 lang2 lang2 lang2 lang2 other lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang1 lang2 lang2 other  
@sanluispotoyeesletsgotoPluckers:);ne lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang2 lang2 lang1 lang2 lang2 lang2 ne lang1 ;other lang1 lang1 lang1 other lang1 lang1 lang1 other lang2 lang2 lang2 lang2 lang2 lang2 lang2  
@sanluispotoyeesyouFakeeeeforcallingmeFakeeelolI'McallingYOUoutforbeingFakecuhhlmao;lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 ;lang1 lang1 ne lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
@sanluispotoyeesYoSiempre!AsisomoslosdeDurango;);lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
@Monimaravilla19lmfaoxD;lang1 1 1 other lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 ;other other lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
@Audreyy_torrespossiyanihablasxFb:/;lang1 1 lang1 lang1 other lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;other other lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
IwantaToasterStrudel!Ihaven'thadonesinceElementarySchool/(0.0)\;lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1  
MyWeakness:WhisperingInMyEar...;)#TurnOn#Weak#Freak;lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang2 lang2 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
@ibrandx_youknowyouaboutthat"PointyBootLife""ChuntiiiSwaggg"loljk;lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
@PoonaF_2Texasneedsyourtalentaswerebuild!Youwoulddefinitelystandout!#HookEm;other other other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 ;other other other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
@Omar_S123eresunoyooo:(noseasojetepasateunashoritaspa'kaaacochooololjk;lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
@foxaustintheydoitinmexico!Surewhynot!?Lolmyunclebuilthis2-StoryHouseoffofBeer!(:hardestworkingguysIeversawhaha;lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang2 lang1 other lang1 ;lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
@_shedopeeemkayyyjustmakingsure!IfuneedatlkIgotyakiddo:);1 lang1 lang1 lang2 lang2 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
@CaseyOnFOX7@foxaustinthechildwas9accordingtokvue..;lang1 lang1 lang1 lang2 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
@mbabbby_evillllloljk;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang2 lang1 lang1 lang1 lang2 lang1 other lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1  
@sanluispotoyees@brissamayenyadijo!Brissaponeelgrupo!DiceknosvaaponeraAlacranesMusicalConjuntoAtardeceroLaMaquinaria;);lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 other other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
DidyounothaveaKenBarbieDollwhenyouwereyoungerorWhatTheFuck???;lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 other lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
MexicanMusiconblastoutsidemyapts.atthishourusuallymeanstheseniggasarestartintheirworkday!#MexicansPutInWork#LosGuerosNo;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;other lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
@ibrandx_wasthataSunConure?(0.0)^0^?:/;lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
@tinaandersonOCNP!Ijustcouldn'tagreemore,there'snothingsexierthanaconfidentwomandrivingatruck!,RealTurnOn!:);lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
Aysi!Aysi!EscuchoCorridosyTomoBuchannan'symesientobienchingon!!!Gtfoh!!!!#Mangueras#MeLaCuro#Pendejetes#Mamones;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
That#NCISLAEnding...Wow!!!PROUDtobeanAmerican#USA#Proud#Honor#GodBlessAmerica;lang1 lang1 lang1 lang2 lang2 lang2 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
