id	tweetString	tweetWordArray	taggedLanguages
20	Their parents are so connected they'll reinstate them into college or find them a badass high paying job..	Their parents are so connected they 'll reinstate them into college or find them a badass high paying job .. 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
21	But little did you know.. that happiness.. it was just a front they put on to distract the real struggle in life..	But little did you know .. that happiness .. it was just a front they put on to distract the real struggle in life .. 	lang1 lang1 lang1 lang1 lang1 other lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
22	It's funny as a kid you wanted to be all grown up.. you wanted a job, a car, a house, a family because you saw how happy the adults were..	It 's funny as a kid you wanted to be all grown up .. you wanted a job , a car , a house , a family because you saw how happy the adults were .. 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other lang1 lang1 other lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
23	@Jason100Fires she's feelinh down tell her she'll feel better at least one hit lmfao xD	@Jason100Fires she 's feelinh down tell her she 'll feel better at least one hit lmfao xD 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
24	@Jason100Fires get her high lmao	@Jason100Fires get her high lmao 	other lang1 lang1 lang1 lang1 
25	@_shedopeee but you do that's why you replied lol	@_shedopeee but you do that 's why you replied lol 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
26	@_shedopeee lol EXACTLY! /.- ur too slow to get what I said lol jk	@_shedopeee lol EXACTLY ! / . - ur too slow to get what I said lol jk 	other lang1 lang1 other other other other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
27	@Monimaravilla19 and got us to chill against one another:) he was kind of inspiring in some aspects:)	@Monimaravilla19 and got us to chill against one another :) he was kind of inspiring in some aspects :) 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
28	@Monimaravilla19 I think anyone who got to meet him misses him.. he was so kind and respectful to everybody:)	@Monimaravilla19 I think anyone who got to meet him misses him .. he was so kind and respectful to everybody :) 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
29	Ohhh sheeeettttt nouuuu not this oneeee:((((((	Ohhh sheeeettttt nouuuu not this oneeee :(((((( 	lang1 lang1 lang1 lang1 lang1 lang1 other 
30	This is why I don't tell you nothin.. swear you take everything the wrong way... lighten up.. get that stick outta ur ass...	This is why I do n't tell you nothin .. swear you take everything the wrong way ... lighten up .. get that stick outta ur ass ... 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 other 
31	My GF got it in the bag! I ain't goin nowhereees!!! Even if I tried (I won't of course) specially since my gf swore shed cut my 8==D Off '0'	My GF got it in the bag ! I ai n't goin nowhereees !!! Even if I tried ( I wo n't of course ) specially since my gf swore shed cut my 8 ==D Off ' 0 ' 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other other lang1 other other other 
32	Giving someone a smile! That's all that matters!! It goes a long way!!:) Smiling is contagious:D	Giving someone a smile ! That 's all that matters !! It goes a long way !! :) Smiling is contagious :D 	lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 other other lang1 lang1 lang1 other 
33	@Rosie_Amanda lmao uhhh how bout... NO! haha	@Rosie_Amanda lmao uhhh how bout ... NO ! haha 	other lang1 lang1 lang1 lang1 other lang1 other lang1 
34	@Lesambam lmao my sister.. xD	@Lesambam lmao my sister .. xD 	other other lang1 lang1 other other 
35	I think I know why my gf posts ugly pics of me.. cuz last time she said k when she posts cute pics of me her friends were favoriting em.. hm	I think I know why my gf posts ugly pics of me .. cuz last time she said k when she posts cute pics of me her friends were favoriting em .. hm 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other other other 
36	@Lesambam FUCK YOUUUUUUUUUUUUUUUUU!!! You ALWAYS post the ugliest pics of me.... like wtf!!!	@Lesambam FUCK YOUUUUUUUUUUUUUUUUU !!! You ALWAYS post the ugliest pics of me .... like wtf !!! 	other lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 other 
37	I'm scared... lol jk... but still wtf...	I 'm scared ... lol jk ... but still wtf ... 	lang1 lang1 lang1 other lang1 lang1 other lang1 lang1 lang1 other 
38	Hahahahahaha Creeper Much...	Hahahahahaha Creeper Much ... 	lang1 lang1 lang1 other 
39	Wtf...	Wtf ... 	lang1 other 
40	@Damaariz_ falling asleep o.-	@Damaariz_ falling asleep o . - 	other lang1 lang1 other other other 
41	@Damaariz_ hi:)	@Damaariz_ hi :) 	other lang1 other 
42	@Monimaravilla19 Autocorrect don't like you lol	@Monimaravilla19 Autocorrect do n't like you lol 	other lang1 lang1 lang1 lang1 lang1 lang1 
43	Priorities.. get them mf's in order...	Priorities .. get them mf 's in order ... 	lang1 other lang1 lang1 lang1 lang1 lang1 lang1 other 
44	You can't come at me asking for respect when you clearly don't give it to me... you earn that shit!!	You can n't come at me asking for respect when you clearly do n't give it to me ... you earn that shit !! 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other 
45	If a guy gives u his All, don't shorthand him! We don't treat every girl like a Princess.. so if u get that royal treatment appreciate it..	If a guy gives u his All , do n't shorthand him ! We do n't treat every girl like a Princess .. so if u get that royal treatment appreciate it .. 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
46	Waking up early is not my thing but anything to get that money.. gotta get my parents out the struggle:)	Waking up early is not my thing but anything to get that money .. gotta get my parents out the struggle :) 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
47	I'm so tired...	I 'm so tired ... 	lang1 lang1 lang1 lang1 other 
48	These kids that get cars cause their parents bought em a car, are some annoying little shits! I had to work my ass off to get my truck.. -.-	These kids that get cars cause their parents bought em a car , are some annoying little shits ! I had to work my ass off to get my truck .. -.- 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other other 
49	I feel so blank rn.	I feel so blank rn . 	lang1 lang1 lang1 lang1 lang1 other 
50	Idk	Idk 	lang1 
51	Hi	Hi 	lang1 
52	@Audreyy_torres that's a SUV... Lol	@Audreyy_torres that 's a SUV ... Lol 	other lang1 lang1 lang1 lang1 other lang1 
53	@brissamayen because then life would be boring duhhhh lol jk	@brissamayen because then life would be boring duhhhh lol jk 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
54	@sanluispotoyees lmfao xD	@sanluispotoyees lmfao xD 	other lang1 other 
55	White girls be extra thirsty mannnn!!!	White girls be extra thirsty mannnn !!! 	lang1 lang1 lang1 lang1 lang1 lang1 other 
56	@Audreyy_torres an 02 F150!	@Audreyy_torres an 02 F150 ! 	other lang1 other other other 
57	@sanluispotoyees its your job to say that though	@sanluispotoyees its your job to say that though 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 
58	@sanluispotoyees Swearrr!!!	@sanluispotoyees Swearrr !!! 	other lang1 other 
59	S/O to @Lopezaniaaa for turning 16 today!:) You're growing up so fast kid! I hope all your wishes come true on this day:) Miss Ya!:)	S/O to @Lopezaniaaa for turning 16 today ! :) You 're growing up so fast kid ! I hope all your wishes come true on this day :) Miss Ya ! :) 	lang1 lang1 other lang1 lang1 other lang1 other other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 other other 
60	@elizaaaabethhh_ yes its the 765 one	@elizaaaabethhh_ yes its the 765 one 	other lang1 lang1 lang1 other lang1 
61	@elizaaaabethhh_ text me!!!	@elizaaaabethhh_ text me !!! 	other lang1 lang1 other 
62	@elizaaaabethhh_ uggghhh okay!!! Is Thursday after 5 good?	@elizaaaabethhh_ uggghhh okay !!! Is Thursday after 5 good ? 	other lang1 lang1 other lang1 lang1 lang1 other lang1 other 
63	2 Days till Paydayyyyyyyyyy ;D	2 Days till Paydayyyyyyyyyy ;D 	other lang1 lang1 lang1 other 
64	Ahhh I can't wait till Pay Day!!!!	Ahhh I can n't wait till Pay Day !!!! 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
65	Life is complicated rn..	Life is complicated rn .. 	lang1 lang1 lang1 lang1 other 
66	Can I just disappear?	Can I just disappear ? 	lang1 lang1 lang1 lang1 other 
67	People Change...	People Change ... 	lang1 lang1 other 
68	I hardly tweet now that I got a job Glad I ain't part of the unemployed crew! My tweets receded and my money growin $$$$	I hardly tweet now that I got a job Glad I ai n't part of the unemployed crew ! My tweets receded and my money growin $$$$ 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
69	@sanluispotoyees so it's more than fuckin real cause niggaaaa... you made me into an emotional wreck lol jk	@sanluispotoyees so it 's more than fuckin real cause niggaaaa ... you made me into an emotional wreck lol jk 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
70	Suga Suga How You Get So Fly?(;	Suga Suga How You Get So Fly ? ( ; 	other lang1 lang1 lang1 lang1 lang1 lang1 other other other 
71	@Monimaravilla19 on a scale of 1-10 how good was it? Lol	@Monimaravilla19 on a scale of 1-10 how good was it ? Lol 	other lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other lang1 
72	@sanluispotoyees lmao no but the food was yummmm ^.^	@sanluispotoyees lmao no but the food was yummmm ^.^ 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
73	@brissamayen lmfao xD	@brissamayen lmfao xD 	other lang1 other 
74	Why the fuck is it that The Pretty Girls are Insecure but The Ugly Bitches be confident... that shit Don't make sense /.-	Why the fuck is it that The Pretty Girls are Insecure but The Ugly Bitches be confident ... that shit Do n't make sense / . - 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 other other other 
75	@sanluispotoyees well no shit! Of course I'm gonna get jealous!!!! Wouldn't you!?	@sanluispotoyees well no shit ! Of course I 'm gonna get jealous !!!! Would n't you !? 	other lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 other 
76	@sanluispotoyees why...	@sanluispotoyees why ... 	other lang1 other 
77	@Ody_12 @foxaustin @Rosie_Amanda @Lopezaniaaa @North_Eastt @Erika_Lizette28 @Audreyy_torres No Problem!:)	@Ody_12 @foxaustin @Rosie_Amanda @Lopezaniaaa @North_Eastt @Erika_Lizette28 @Audreyy_torres No Problem ! :) 	other other other other other other other lang1 lang1 other other 
78	@foxaustin @Rosie_Amanda @Lopezaniaaa @North_Eastt @Erika_Lizette28 @Ody_12 @Audreyy_torres Stay Home Kids!:) No School for y'all!!!:)	@foxaustin @Rosie_Amanda @Lopezaniaaa @North_Eastt @Erika_Lizette28 @Ody_12 @Audreyy_torres Stay Home Kids ! :) No School for y 'all!!!:) 	other other other other other other other lang1 lang1 lang1 other other lang1 lang1 lang1 lang1 other 
79	@Erika_Lizette28 @Rosie_Amanda @Audreyy_torres @North_Eastt @Ody_12 @Lopezaniaaa yeappp an hour or so extra of sleeping or getting ready:)	@Erika_Lizette28 @Rosie_Amanda @Audreyy_torres @North_Eastt @Ody_12 @Lopezaniaaa yeappp an hour or so extra of sleeping or getting ready :) 	other other other other other other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
80	@sanluispotoyees who?	@sanluispotoyees who ? 	other lang1 other 
81	@RideAlong my favorite part xD	@RideAlong my favorite part xD 	other lang1 lang1 lang1 other 
82	1st day of Work went great today!!! :D #Cars #Driving #LoveIt	1st day of Work went great today !!! :D #Cars #Driving #LoveIt 	other lang1 lang1 lang1 lang1 lang1 lang1 other other lang1 lang1 lang1 
83	@foxaustin that he probably goes tubing himself lol	@foxaustin that he probably goes tubing himself lol 	other lang1 lang1 lang1 lang1 lang1 lang1 other 
84	@sanluispotoyees hehe ;)	@sanluispotoyees hehe ;) 	other lang1 other 
85	Ugly ass mf	Ugly ass mf 	lang1 lang1 lang1 
86	@sanluispotoyees She Wet tho;)	@sanluispotoyees She Wet tho ;) 	other lang1 lang1 lang1 other 
87	These tacky mfs right next to me AGAIN!	These tacky mfs right next to me AGAIN ! 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
88	@MyNig awww daaaamnnnn I'm Dead xD	@MyNig awww daaaamnnnn I 'm Dead xD 	other lang1 lang1 lang1 lang1 lang1 other 
89	@cbyndom23 It's Intense! You will be glued to the screen after the action begins! I forgot my gf was with me once the guns popped off! Lol	@cbyndom23 It 's Intense ! You will be glued to the screen after the action begins ! I forgot my gf was with me once the guns popped off ! Lol 	other lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 
90	@sanluispotoyees grandma storeeee lol	@sanluispotoyees grandma storeeee lol 	other lang1 lang1 lang1 
91	@sanluispotoyees change ur number dipshit..	@sanluispotoyees change ur number dipshit .. 	other lang1 lang1 lang1 lang1 other 
92	@sanluispotoyees ur parents maybe! Mine are legit^.^	@sanluispotoyees ur parents maybe ! Mine are legit ^.^ 	other lang1 lang1 lang1 other lang1 lang1 lang1 other 
93	@sanluispotoyees ewww ratchet hoeee lol jkjk xD	@sanluispotoyees ewww ratchet hoeee lol jkjk xD 	other lang1 lang1 lang1 lang1 lang1 other 
94	@Rosie_Amanda Oh Shittt!!! Well Excuse The Fuck Outtaaa Me!!! Lol *Softies!	@Rosie_Amanda Oh Shittt !!! Well Excuse The Fuck Outtaaa Me !!! Lol * Softies ! 	other lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 other lang1 other lang1 other 
95	@sanluispotoyees I'm already done quit whining ughhh u buggg so much -.-	@sanluispotoyees I 'm already done quit whining ughhh u buggg so much -.- 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
96	@sanluispotoyees lol ok:)	@sanluispotoyees lol ok :) 	other lang1 lang1 other 
97	@sanluispotoyees eww don't get me shit for Valentine's that shit is lame af	@sanluispotoyees eww do n't get me shit for Valentine 's that shit is lame af 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
98	@sanluispotoyees I'm Fake? You fake fo bein fake bout bein fake cuz u know u fake but u don't wanna seem fake cause nobody like a fake nigga	@sanluispotoyees I 'm Fake ? You fake fo bein fake bout bein fake cuz u know u fake but u do n't wanna seem fake cause nobody like a fake nigga 	other lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
99	My GF is FAKE	My GF is FAKE 	lang1 lang1 lang1 lang1 
100	@Audreyy_torres that's actually when I drive best^.^	@Audreyy_torres that 's actually when I drive best ^.^ 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
101	@Lopezaniaaa that's what she said.. lol	@Lopezaniaaa that 's what she said .. lol 	other lang1 lang1 lang1 lang1 lang1 other lang1 
102	@elizaaaabethhh_ nooo I just wait for it to die down:/	@elizaaaabethhh_ nooo I just wait for it to die down :/ 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
103	@elizaaaabethhh_ yes-.- no I'm just riding it out as usual:/	@elizaaaabethhh_ yes -.- no I 'm just riding it out as usual :/ 	other lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
104	@_shedopeee lmao	@_shedopeee lmao 	other lang1 
105	@_shedopeee lol	@_shedopeee lol 	other lang1 
106	@_shedopeee *never	@_shedopeee * never 	other other lang1 
107	@Audreyy_torres I'm great at it! ^.^	@Audreyy_torres I 'm great at it ! ^.^ 	other lang1 lang1 lang1 lang1 lang1 other other 
108	@Audreyy_torres mhmm yeah sureee okayyy lol	@Audreyy_torres mhmm yeah sureee okayyy lol 	other lang1 lang1 lang1 lang1 lang1 
109	@elizaaaabethhh_ I know right:( I just showered and now I feel worse -.-	@elizaaaabethhh_ I know right :( I just showered and now I feel worse -.- 	other lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
110	My eyes are burning:(	My eyes are burning :( 	lang1 lang1 lang1 lang1 other 
111	@elizaaaabethhh_ I know mine too :/	@elizaaaabethhh_ I know mine too :/ 	other lang1 lang1 lang1 lang1 other 
112	@elizaaaabethhh_ its cause it's usually not this high.. its ten times higher today than ur avg day..	@elizaaaabethhh_ its cause it 's usually not this high .. its ten times higher today than ur avg day .. 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 other 
113	@elizaaaabethhh_ its all the cedar in the air! Stupid allergies -.-	@elizaaaabethhh_ its all the cedar in the air ! Stupid allergies -.- 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 other 
114	@sanluispotoyees I want to go he's fuckin hilarious! :)	@sanluispotoyees I want to go he 's fuckin hilarious ! :) 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other other 
115	@sanluispotoyees did u even read it? -.-	@sanluispotoyees did u even read it ? -.- 	other lang1 lang1 lang1 lang1 lang1 other other 
116	@sanluispotoyees why not? After practice?	@sanluispotoyees why not ? After practice ? 	other lang1 lang1 other lang1 lang1 other 
117	@WTFLifeFacts this makes sense :0	@WTFLifeFacts this makes sense : 0 	other lang1 lang1 lang1 other other 
118	@Audreyy_torres lmao LAMEEE Jk	@Audreyy_torres lmao LAMEEE Jk 	other lang1 lang1 lang1 
119	@Audreyy_torres apparently you do since you bothered to say so lol get off ma tip niggaaa lol	@Audreyy_torres apparently you do since you bothered to say so lol get off ma tip niggaaa lol 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 
120	The creator of Push-Up Bra's should be sued for False Advertisement lol for making guys believe the tits are big when they're really not lol	The creator of Push-Up Bra 's should be sued for False Advertisement lol for making guys believe the tits are big when they 're really not lol 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
121	In Winter time bitches be all wifed up, but once spring break kicks in its like "My boyfriend who? Naw he just a friend don't mind him" lol	In Winter time bitches be all wifed up , but once spring break kicks in its like " My boyfriend who ? Naw he just a friend do n't mind him " lol 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 
122	@sanluispotoyees goes to show, don't bother your man when he's watching Football lol	@sanluispotoyees goes to show , do n't bother your man when he 's watching Football lol 	other lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
123	@sanluispotoyees quality burgers, pizza, wings, steak, bbq, home cooked healthy meals, deer, chicken, rabbit, all depending on ur area lol	@sanluispotoyees quality burgers , pizza , wings , steak , bbq , home cooked healthy meals , deer , chicken , rabbit , all depending on ur area lol 	other lang1 lang1 other lang1 other lang1 other lang1 other lang1 other lang1 lang1 lang1 lang1 other lang1 other lang1 other lang1 other lang1 lang1 lang1 lang1 lang1 other 
124	@sanluispotoyees like ME! ^.^	@sanluispotoyees like ME ! ^.^ 	other lang1 lang1 other other 
125	@Audreyy_torres but u got like 2 more years to go!!! Lol	@Audreyy_torres but u got like 2 more years to go !!! Lol 	other lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other other 
126	@Audreyy_torres Duuuhhh lol	@Audreyy_torres Duuuhhh lol 	other lang1 lang1 
127	@j_castelan9 @sanluispotoyees Hahahahaha	@j_castelan9 @sanluispotoyees Hahahahaha 	other other lang1 
128	@sanluispotoyees your mom is a Milf ;D hehehe lol jk	@sanluispotoyees your mom is a Milf ;D hehehe lol jk 	other lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 
129	@GuessMallory Maaaaan they f*cked that little boys Edge Up badddd!!!! Lol	@GuessMallory Maaaaan they f*cked that little boys Edge Up badddd !!!! Lol 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 
130	@BrittyBryan GL!!	@BrittyBryan GL !! 	other lang1 other 
131	What is it about us guys chewing gum that turns us into cocky assholes? #ButReallyThough #Why	What is it about us guys chewing gum that turns us into cocky assholes ? #ButReallyThough #Why 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other other lang1 
132	@sanluispotoyees *me	@sanluispotoyees * me 	other other lang1 
133	@sanluispotoyees so basically "Fuck all yall niggas! Except my niggas"... that would've been simpler-.-	@sanluispotoyees so basically " Fuck all yall niggas ! Except my niggas " ... that would 've been simpler -.- 	other lang1 lang1 other lang1 lang1 lang1 lang1 other lang1 lang1 lang1 other other lang1 lang1 lang1 lang1 lang1 other 
134	@Omar_S123 hook it up w a job lol	@Omar_S123 hook it up w a job lol 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 
135	Confidence is sexy;) Insecurities are annoying and a COMPLETE Turn Off. .	Confidence is sexy ;) Insecurities are annoying and a COMPLETE Turn Off . . 	lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other other 
136	My gf is psycho	My gf is psycho 	lang1 lang1 lang1 lang1 
137	Why the fuck does something so simple always gotta be so complicated... #seriously #itsnotthathard	Why the fuck does something so simple always gotta be so complicated ... #seriously #itsnotthathard 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 
138	@sanluispotoyees @muchachoaleegre lol yeeeaaaaapp	@sanluispotoyees @muchachoaleegre lol yeeeaaaaapp 	other other lang1 lang1 
139	Don't understand why my gf gets mad if I don't text her back fast cause when I do her bitchass takes 4ever 2 reply! -.-	Do n't understand why my gf gets mad if I do n't text her back fast cause when I do her bitchass takes 4ever 2 reply ! -.- 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other other lang1 other other 
140	@elizaaaabethhh_ made me look at babies a whole different other way! 0.0	@elizaaaabethhh_ made me look at babies a whole different other way ! 0.0 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other other 
141	@CaseyOnFOX7 Oops! Sorry! My mistake.. I usually just skim through long articles so I Misread /.\	@CaseyOnFOX7 Oops ! Sorry ! My mistake .. I usually just skim through long articles so I Misread / . \ 	other lang1 other lang1 other lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other other other 
142	@_shedopeee oh lol no I was just wondering if you were ok since u seemed pretty pissed off..	@_shedopeee oh lol no I was just wondering if you were ok since u seemed pretty pissed off .. 	other lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
143	@IsaacCali96 @sanluispotoyees @brissamayen From suckin on that dick!!!! Hahaha	@IsaacCali96 @sanluispotoyees @brissamayen From suckin on that dick !!!! Hahaha 	other other other lang1 lang1 lang1 lang1 lang1 other lang1 
